0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
1,2,5
0,3,4
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
0,3,4
1,2,5
0,3,4
1,2,5
1,2,5
0,3,4
1,2,5
0,3,4
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
1,2,5
0,3,4
